"OBJECTID,N,9,0","SOMMET,C,44","ZONE_CODE,N,9,0","COUNT,N,9,0","AREA,N,13,11","MIN,N,9,0","MAX,N,9,0","RANGE,N,9,0","MEAN,N,13,11","STD,N,13,11","MEDIAN,N,9,0"
1,La Meije,1,1418,886250.00000000000,2959,3925,966,3454.32000000000,208.90800000000,3434
2,Rateau,2,728,455000.00000000000,3117,3722,605,3459.74000000000,126.97600000000,3465
3,Brevoort,3,141,88125.00000000000,3377,3693,316,3518.99000000000,79.34490000000,3513
4,Dibona,4,95,59375.00000000000,2750,3060,310,2907.62000000000,83.80270000000,2906
5,Plat de la Selle,5,826,516250.00000000000,2690,3561,871,3068.72000000000,183.27900000000,3048
6,Muraillette,6,493,308125.00000000000,2286,2977,691,2727.60000000000,134.37800000000,2744
7,Rocher de la Selle,7,249,155625.00000000000,2115,2785,670,2465.88000000000,168.68400000000,2466
8,Lauvitel,8,137,85625.00000000000,2658,2849,191,2749.68000000000,50.26160000000,2746
9,Valsenestre,9,187,116875.00000000000,2373,2779,406,2567.10000000000,98.57550000000,2550
10,Peyron,10,860,537500.00000000000,2124,3103,979,2669.90000000000,234.71500000000,2694
11,Barre des Ecrins,11,1037,648125.00000000000,2682,4064,1382,3368.14000000000,367.72400000000,3389
12,Occidentale Ailefroide,12,680,425000.00000000000,2823,3895,1072,3423.08000000000,257.01300000000,3424
13,Rouies,13,650,406250.00000000000,2734,3547,813,3159.03000000000,194.38400000000,3153
14,Olan,14,650,406250.00000000000,2835,3522,687,3183.86000000000,151.98100000000,3185
15,Sirac,15,1493,933125.00000000000,2412,3418,1006,2980.57000000000,207.40400000000,2988
16,Choisy,16,157,98125.00000000000,3240,3666,426,3432.93000000000,105.12200000000,3420
17,Burlan,17,85,53125.00000000000,3074,3270,196,3163.41000000000,51.91740000000,3162
18,Pelvoux,18,737,460625.00000000000,2976,3778,802,3395.37000000000,203.75700000000,3407
