"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","present.cclgmbi.diff.stress.score"
"1","mntd","Asterales","Ecrins NP",-0.0692809592209633,0.765334105201748,-0.0992085077771715,0.00105269291317624
"2","mntd","Asterales","Persistent LGM",-0.0732358710418763,0.835902326165202,0.17695112040539,0.000778876473530392
"3","mntd","Asterales","Summits",-0.065042125637006,0.709490992083353,0.117044185912049,0.00134969982566027
"4","mntd","Caryophyllales","Ecrins NP",0.437589163840757,0.00595514308416003,-0.11269944956094,-0.00934576268491218
"5","mntd","Caryophyllales","Persistent LGM",0.401323600068805,0.00890727121760132,0.0514094198456934,-0.00899398342029395
"6","mntd","Caryophyllales","Summits",0.40018208280735,0.00901776161733021,-0.0791635496737867,-0.00842878954835469
"7","mntd","Lamiales","Ecrins NP",-0.0724612395690403,0.733294752820763,-0.127531964403113,-0.00114217159210552
"8","mntd","Lamiales","Persistent LGM",-0.0567029966165298,0.562773190529097,0.642087652811827,0.00185599808023832
"9","mntd","Lamiales","Summits",-0.0832259476335675,0.97305279692225,0.457998896499142,-9.42553272495112e-05
"10","mntd","Poales","Ecrins NP",-0.0829482088678299,0.948989981047688,-0.687957071962167,0.000255706435981852
"11","mntd","Poales","Persistent LGM",-0.0561796146998912,0.588799703625953,0.23032922016808,0.00145202478230781
"12","mntd","Poales","Summits",-0.0427455415239404,0.507311981061493,0.360171663991529,0.00184827211237712
"13","mntd","Rosales","Ecrins NP",0.343379771936037,0.0340905420537818,-1.25797656425944,0.00869147338259618
"14","mntd","Rosales","Persistent LGM",0.0734262867948325,0.213459968754739,-0.778753880579939,0.00643950188193753
"15","mntd","Rosales","Summits",0.120165250406601,0.158403406896152,-0.832650335499563,0.00583041486168949
"16","mntd","Spermatophyta","Ecrins NP",0.0438674319763116,0.222393947510679,-2.35283487778907,-0.00613016560054605
"17","mntd","Spermatophyta","Persistent LGM",-0.0254785458455644,0.433868815404514,-0.453066780585362,0.00213726678146902
"18","mntd","Spermatophyta","Summits",0.0516686883652273,0.207121941573836,-0.860302468705133,-0.00516851235305162
"19","mpd","Asterales","Ecrins NP",0.0146624252337492,0.291604080618124,-0.393646082403409,0.00308124096929751
"20","mpd","Asterales","Persistent LGM",0.0313850784410786,0.249433428169272,-0.0609117333443835,0.00410029666214631
"21","mpd","Asterales","Summits",0.0178006220309243,0.283103479392329,-0.0293290389957608,0.00409199473119314
"22","mpd","Caryophyllales","Ecrins NP",0.408564026938587,0.0082334178209728,-0.0206884691788679,-0.00775969507802924
"23","mpd","Caryophyllales","Persistent LGM",0.417811583516927,0.00743735635908105,-0.105464669215011,-0.00800445981813094
"24","mpd","Caryophyllales","Summits",0.422931860529842,0.00702595797221124,-0.207746403251783,-0.00769452542874058
"25","mpd","Lamiales","Ecrins NP",-0.0796254269006818,0.842528380377792,-0.0307177116372996,-0.000347288230032604
"26","mpd","Lamiales","Persistent LGM",-0.0299492473567975,0.436832931930985,0.711442043636159,0.00193517432656417
"27","mpd","Lamiales","Summits",-0.0704724314215086,0.710803759667526,0.561500182398341,0.000767097996434656
"28","mpd","Poales","Ecrins NP",-0.0768022676697113,0.79191047426411,-0.0691352317036406,-0.000940885997958743
"29","mpd","Poales","Persistent LGM",-0.0832768271256701,0.980451090182994,0.579854414608736,-6.61988636885783e-05
"30","mpd","Poales","Summits",-0.0817063618924478,0.895355663978555,0.443502166678352,-0.000407557148869425
"31","mpd","Rosales","Ecrins NP",0.069791827463874,0.218466991004005,-1.68730394935942,0.00730874501003864
"32","mpd","Rosales","Persistent LGM",0.0470750665164447,0.252640241821979,-0.813395402957074,0.00590887322256982
"33","mpd","Rosales","Summits",0.0921731770329353,0.18941450289562,-0.813096731244472,0.00566822828287451
"34","mpd","Spermatophyta","Ecrins NP",0.169171378583571,0.0714943717161604,-0.595916507091193,-0.00796813796676126
"35","mpd","Spermatophyta","Persistent LGM",-0.06880493197045,0.758330514837409,0.36870845842192,0.000935765457477392
"36","mpd","Spermatophyta","Summits",0.160789838871202,0.0772138930459239,-0.364269104444986,-0.00737380136173062
