"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Barre des Ecrins",40,275.315477865385,281.523849389901,18.1213657528328,378,-0.342599537429805,0.378,999
"Brevoort",11,255.276635890909,281.75530363225,34.3910660367178,221,-0.769928670227067,0.221,999
"Burlan",33,267.641368617424,280.895363416143,18.981064969208,224,-0.698274560474898,0.224,999
"Choisy",17,256.806892838235,281.4392360474,27.0490212334599,165,-0.910655620274151,0.165,999
"Ecrins NP",1081,280.7245983315,280.7245983315,0,500.5,NA,0.5005,999
"La Meije",36,261.160879080952,280.437129291886,17.7858406999356,140,-1.08379752951475,0.14,999
"Lauvitel",96,269.245131620833,280.759042731883,10.638305339563,145,-1.08230688474703,0.145,999
"Muraillette",62,265.980170028027,280.04216851052,13.4981568620137,151,-1.04177174900561,0.151,999
"Occidentale Ailefroide",29,270.617859783251,281.177577428443,20.0121616659493,306,-0.527665017975512,0.306,999
"Olan",63,277.386492412698,280.099000410584,13.0384358403295,437,-0.208039371524546,0.437,999
"Pelvoux",16,378.247871733333,281.672019118911,30.1264450027854,990,3.20568366448459,0.99,999
"Persistent",164,263.341607466183,280.535496619146,8.10367739710432,9,-2.12173909577244,0.009,999
"Plat de la Selle",31,283.098430636559,280.797219222117,20.2080031616592,590,0.113876239826035,0.59,999
"Rateau",100,278.169611471313,279.686701630423,10.9649068360108,446,-0.138358691213594,0.446,999
"Rocher de la Selle",150,273.505325264251,280.551978928544,8.62034362201743,210,-0.817444637159904,0.21,999
"Rouies",40,251.872930391026,280.933020208057,17.2777188423087,40,-1.68194019605589,0.04,999
"Sirac",76,262.778903064561,281.335952123156,12.5786038710398,58,-1.47528686401509,0.058,999
"Summits",215,275.966701052467,281.015131685812,6.75168835784059,231,-0.747728622201902,0.231,999
"Under Ice",103,276.265828702456,281.184828130587,10.3952273998981,319,-0.473197866568962,0.319,999
