"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"aiguille.du.plat.de.la.selle",30,78.3539100333333,142.392805608141,27.8078702939387,4,-2.30290543281075,0.004,999
"barre.des.Ecrins",43,83.5930521395349,125.827405798613,21.5413709330274,19,-1.96061586750375,0.019,999
"brèche.de.valsenestre",14,108.031052714286,181.773144752681,45.5494716208256,26,-1.61894505939077,0.026,999
"brèche.du.râteau",33,64.9803968787879,137.372236906877,26.694780410506,1,-2.71183500725101,0.001,999
"EcrinsNP",1092,28.480519242674,28.3748808166821,0.140325086013079,817,0.75281212357198,0.817,999
"l.olan",68,96.7967892941176,105.323504297386,14.9811195874833,288,-0.569164070380428,0.288,999
"la.meije",37,69.9715284864865,131.789986261911,23.5647861844708,2,-2.62334049167663,0.002,999
"le.râteau",75,92.67220284,101.39051801017,13.4691176141853,283,-0.64728183537341,0.283,999
"le.sirac",81,70.9750507407407,97.3004247720931,12.7504068035585,19,-2.06466934247189,0.019,999
"les.rouies",44,97.8533578863636,125.252505996633,20.7347247283932,88,-1.32141364156864,0.088,999
"mont.pelvoux",17,241.380681235294,170.834972993876,39.7653116514379,950,1.7740514360804,0.95,999
"occidentale.l.ailefroide",31,115.701067741935,140.379706296813,27.5425257896624,204,-0.896019440749335,0.204,999
"persistant",172,50.3605823604651,70.2598632477303,6.72031250629956,1,-2.96106481188364,0.001,999
"pic.du.clapier.du.peyron",45,64.1152299333333,124.10390497651,21.2415871937424,1,-2.82411453042683,0.001,999
"pic.ouest..le.rateau.",26,113.816847730769,148.429880077193,31.0015240291914,136,-1.11649454116615,0.136,999
"pointe.brevoort",13,120.632872076923,184.865691192346,47.4711575381792,56,-1.35309148642022,0.056,999
"pointes.de.burlan",34,81.3466535,135.035475455367,25.4334472652905,4,-2.11095339909495,0.004,999
"rocher.de.la.selle",157,59.3738292929936,73.2510126574536,7.43582149096526,22,-1.86626096139091,0.022,999
"signal.du.lauvitel",87,71.3762504022989,95.0435023595435,12.3403137848132,22,-1.91788088779161,0.022,999
"Summits",226,51.9365542743363,61.497474118375,5.42381461218105,40,-1.76276671082496,0.04,999
"tête.de.la.muraillette",64,71.58237734375,107.643697944929,15.5825178480588,5,-2.31421654400169,0.005,999
"tour.choisy",18,97.0195776111111,168.786239990657,39.2586714473704,8,-1.8280461292674,0.008,999
"underIce",109,72.1750786605505,86.2498559574896,10.0897753647051,67,-1.39495447501973,0.067,999
