"","ntax","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"aiguille.du.plat.de.la.selle",30,78.3539100333333,124.099262218145,30.7672027418911,55,-1.48682194376179,0.055,999
"barre.des.Ecrins",43,83.5930521395349,122.483858300939,30.5757250574926,91,-1.27195041452907,0.091,999
"brèche.de.valsenestre",14,108.031052714286,123.539455028869,32.0329164908756,331,-0.484139566842165,0.331,999
"brèche.du.râteau",33,64.9803968787879,122.568536695222,31.5496959077735,8,-1.82531521016167,0.008,999
"EcrinsNP",1092,28.480519242674,122.942438823934,31.0600620826052,1,-3.0412662836937,0.001,999
"l.olan",68,96.7967892941176,123.741412640555,31.6420618445359,216,-0.85154448780304,0.216,999
"la.meije",37,69.9715284864865,123.385264256612,30.2172941576594,24,-1.7676544925379,0.024,999
"le.râteau",75,92.67220284,124.004745517523,30.7395114078685,159,-1.01929215015119,0.159,999
"le.sirac",81,70.9750507407407,124.871981061806,31.6739851569768,31,-1.70161506529575,0.031,999
"les.rouies",44,97.8533578863636,122.834256764506,31.3694151446552,230,-0.796345700515822,0.23,999
"mont.pelvoux",17,241.380681235294,122.1795965532,30.5454692459506,999,3.90241458470625,0.999,999
"occidentale.l.ailefroide",31,115.701067741935,123.688773388443,32.5715473963563,436,-0.245235682213876,0.436,999
"persistant",172,50.3605823604651,121.729111409408,30.3369910766912,1,-2.3525249708689,0.001,999
"pic.du.clapier.du.peyron",45,64.1152299333333,123.304557855974,31.4021037996509,10,-1.8848841561787,0.01,999
"pic.ouest..le.rateau.",26,113.816847730769,123.315012184328,32.0579033914333,425,-0.296281523391717,0.425,999
"pointe.brevoort",13,120.632872076923,122.166429232407,31.3204659348316,537,-0.0489634208723135,0.537,999
"pointes.de.burlan",34,81.3466535,122.222895053513,30.410437268601,70,-1.34415171976884,0.07,999
"rocher.de.la.selle",157,59.3738292929936,122.103751752789,31.1170087046626,3,-2.01593678412913,0.003,999
"signal.du.lauvitel",87,71.3762504022989,122.337198730355,30.6270948470741,26,-1.66391714860687,0.026,999
"Summits",226,51.9365542743363,123.478022163984,31.3880926559373,1,-2.27925502431302,0.001,999
"tête.de.la.muraillette",64,71.58237734375,122.2386902174,31.0045461176005,22,-1.63383500863102,0.022,999
"tour.choisy",18,97.0195776111111,124.128447799323,30.5237465055464,188,-0.888123945836272,0.188,999
"underIce",109,72.1750786605505,120.981306596394,30.0576077991382,28,-1.62375623043571,0.028,999
